Date,Price,Action,Confidence,Shares,Cash,Portfolio_Value
2011-05-11,5.414,HOLD,0.09200471639633179,0,10000.0,10000.0
2011-05-12,5.534,HOLD,0.05496591329574585,0,10000.0,10000.0
2011-05-13,5.51,HOLD,0.06365364789962769,0,10000.0,10000.0
2011-05-16,5.32,HOLD,0.010940790176391602,0,10000.0,10000.0
2011-05-17,5.192,HOLD,0.06097853183746338,0,10000.0,10000.0
2011-05-18,5.27,HOLD,0.06381011009216309,0,10000.0,10000.0
2011-05-19,5.64,HOLD,0.05775487422943115,0,10000.0,10000.0
2011-05-20,5.594,HOLD,0.07088583707809448,0,10000.0,10000.0
2011-05-23,5.364,HOLD,0.11537092924118042,0,10000.0,10000.0
2011-05-24,5.344,HOLD,0.09818261861801147,0,10000.0,10000.0
2011-05-25,5.796,HOLD,0.10173434019088745,0,10000.0,10000.0
2011-05-26,5.896,HOLD,0.10654008388519287,0,10000.0,10000.0
2011-05-27,5.91,HOLD,0.13832610845565796,0,10000.0,10000.0
2011-05-31,6.028,HOLD,0.1339147686958313,0,10000.0,10000.0
2011-06-01,5.704,HOLD,0.11013954877853394,0,10000.0,10000.0
2011-06-02,5.752,HOLD,0.06346982717514038,0,10000.0,10000.0
2011-06-03,6.026,HOLD,0.09778422117233276,0,10000.0,10000.0
2011-06-06,5.74,HOLD,0.10101592540740967,0,10000.0,10000.0
2011-06-07,5.674,HOLD,0.11359530687332153,0,10000.0,10000.0
2011-06-08,5.424,HOLD,0.05074208974838257,0,10000.0,10000.0
2011-06-09,5.524,HOLD,0.065498948097229,0,10000.0,10000.0
2011-06-10,5.572,HOLD,0.04507613182067871,0,10000.0,10000.0
2011-06-13,5.686,HOLD,0.030670225620269775,0,10000.0,10000.0
2011-06-14,5.72,HOLD,0.024230003356933594,0,10000.0,10000.0
2011-06-15,5.464,HOLD,0.10786968469619751,0,10000.0,10000.0
2011-06-16,5.3,HOLD,0.08154022693634033,0,10000.0,10000.0
2011-06-17,5.3,HOLD,0.0002416372299194336,0,10000.0,10000.0
2011-06-20,5.202,HOLD,0.00664210319519043,0,10000.0,10000.0
2011-06-21,5.506,HOLD,0.07634925842285156,0,10000.0,10000.0
2011-06-22,5.442,HOLD,0.10038149356842041,0,10000.0,10000.0
2011-06-23,5.542,HOLD,0.11588156223297119,0,10000.0,10000.0
2011-06-24,5.514,HOLD,0.1285417079925537,0,10000.0,10000.0
2011-06-27,5.492,HOLD,0.12111109495162964,0,10000.0,10000.0
2011-06-28,5.622,HOLD,0.12580442428588867,0,10000.0,10000.0
2011-06-29,5.658,HOLD,0.2000269889831543,0,10000.0,10000.0
2011-06-30,5.826,HOLD,0.19089317321777344,0,10000.0,10000.0
2011-07-01,5.804,HOLD,0.17791306972503662,0,10000.0,10000.0
2011-07-05,5.828,HOLD,0.1511756181716919,0,10000.0,10000.0
2011-07-06,5.792,HOLD,0.1328405737876892,0,10000.0,10000.0
2011-07-07,5.946,HOLD,0.11935198307037354,0,10000.0,10000.0
2011-07-08,5.762,HOLD,0.11218416690826416,0,10000.0,10000.0
2011-07-11,5.67,HOLD,0.13652873039245605,0,10000.0,10000.0
2011-07-12,5.634,HOLD,0.11811202764511108,0,10000.0,10000.0
2011-07-13,5.728,HOLD,0.08603811264038086,0,10000.0,10000.0
