Date,Open,High,Low,Close,Price_9AM,Price_10AM,Action,Order_Amount,Portfolio_Value,Cash,Shares
2023-01-02,1008.28,1012.73,961.59,966.21,1007.94,1001.9,buy,9000.0,9634.328000000001,1904.6480000000001,8
2023-01-03,970.81,991.25,888.92,895.54,947.47,928.57,buy,1714.1832,9026.6523,966.7923000000001,9
2023-01-04,893.51,897.55,865.69,870.23,870.26,876.49,hold,,8798.8623,966.7923000000001,9
2023-01-05,870.31,872.46,827.53,828.8,876.33,869.04,buy,870.11307,8425.9923,966.7923000000001,9
2023-01-06,808.87,834.37,785.06,793.87,792.7,776.8,hold,,8111.6223,966.7923000000001,9
2023-01-09,815.52,828.48,756.96,764.67,777.27,758.92,buy,870.11307,7846.9830999999995,200.2831000000001,10
2023-01-10,771.92,861.3,768.04,846.72,820.56,852.51,buy,180.25479000000007,8667.483100000001,200.2831000000001,10
2023-01-11,847.68,857.28,809.8,810.55,833.6,830.25,hold,,8305.7831,200.2831000000001,10
2023-01-12,822.5,838.01,748.16,764.07,801.56,796.44,buy,180.25479000000007,7840.983100000001,200.2831000000001,10
2023-01-13,760.21,774.39,744.73,750.14,760.98,761.96,buy,180.25479000000007,7701.6831,200.2831000000001,10
2023-01-16,733.51,742.15,626.6,636.34,681.8,687.59,hold,,6563.6831,200.2831000000001,10
2023-01-17,644.77,647.56,612.45,617.13,618.1,625.36,hold,,6371.5831,200.2831000000001,10
2023-01-18,612.32,652.87,589.69,649.76,642.37,638.85,buy,180.25479000000007,6697.883100000001,200.2831000000001,10
2023-01-19,653.73,656.16,631.43,644.6,675.91,659.19,hold,,6646.283100000001,200.2831000000001,10
2023-01-20,661.2,671.61,573.96,586.15,640.82,633.62,hold,,6061.783100000001,200.2831000000001,10
2023-01-23,583.37,585.93,547.37,571.98,574.77,576.1,hold,,5920.0831,200.2831000000001,10
2023-01-24,570.89,584.71,522.85,549.88,562.22,572.73,hold,,5699.0831,200.2831000000001,10
2023-01-25,562.67,565.15,506.65,523.51,552.27,539.19,buy,180.25479000000007,5435.383100000001,200.2831000000001,10
2023-01-26,521.72,549.15,512.7,535.01,535.98,525.52,hold,,5550.383100000001,200.2831000000001,10
2023-01-27,540.05,543.04,526.51,527.05,550.08,540.56,buy,180.25479000000007,5470.783100000001,200.2831000000001,10
2023-01-30,525.94,534.47,505.6,510.52,507.63,512.82,hold,,5305.4830999999995,200.2831000000001,10
2023-01-31,516.27,516.56,509.32,512.4,513.43,506.47,hold,,5324.283100000001,200.2831000000001,10
