Date,Open,High,Low,Close,Price_9AM,Price_10AM,Action,Order_Amount,Portfolio_Value,Cash,Shares
2024-03-01,1007.62,1111.32,989.75,1098.19,1067.28,1075.09,hold,,10000.0,10000.0,0
2024-03-04,1092.79,1239.18,1091.32,1211.17,1141.7,1152.61,buy,9000.0,10329.2373,1851.0473000000002,7
2024-03-05,1209.48,1233.71,1181.68,1185.63,1197.77,1182.58,hold,,10150.4573,1851.0473000000002,7
2024-03-06,1173.48,1183.8,1110.0,1122.7,1154.87,1150.05,hold,,9709.9473,1851.0473000000002,7
2024-03-07,1114.63,1118.32,1083.43,1098.81,1158.93,1148.5,hold,,9542.7173,1851.0473000000002,7
2024-03-08,1086.87,1103.18,921.31,926.01,1031.75,1007.71,hold,,8333.1173,1851.0473000000002,7
2024-03-11,906.14,931.3,846.36,852.04,918.05,874.59,hold,,7815.3273,1851.0473000000002,7
2024-03-12,861.74,870.66,846.49,867.2,853.98,860.62,hold,,7921.447300000001,1851.0473000000002,7
2024-03-13,855.16,879.85,816.11,860.61,893.99,883.81,sell,6.0,7961.4887,7100.8787,1
2024-03-14,852.79,855.12,841.41,844.44,877.58,861.11,buy,6390.79083,7768.351000000001,1012.8310000000001,8
2024-03-15,850.42,856.92,829.58,831.34,808.12,801.4,sell,7.0,7397.8730000000005,6566.533,1
2024-03-18,820.72,893.61,815.42,878.94,908.73,920.0,buy,5909.8796999999995,7143.9130000000005,991.3330000000005,7
2024-03-19,880.63,897.81,878.32,886.49,850.6,846.08,hold,,7196.763000000001,991.3330000000005,7
2024-03-20,890.94,912.9,883.93,911.75,878.72,884.22,hold,,7373.5830000000005,991.3330000000005,7
2024-03-21,914.82,932.24,907.34,907.92,883.04,903.23,hold,,7346.773,991.3330000000005,7
2024-03-22,910.1,929.35,884.29,887.9,878.73,876.74,hold,,7206.633000000001,991.3330000000005,7
2024-03-25,903.48,937.97,882.21,913.66,917.56,917.06,hold,,7386.953,991.3330000000005,7
2024-03-26,912.03,1027.62,897.68,987.61,992.84,997.75,hold,,7904.603000000001,991.3330000000005,7
2024-03-27,998.83,1005.94,958.1,990.36,966.45,979.88,buy,892.1997000000003,7923.853000000001,991.3330000000005,7
2024-03-28,991.22,997.95,951.1,960.32,983.98,974.02,hold,,7713.573000000001,991.3330000000005,7
2024-03-29,977.83,1022.85,883.24,896.48,938.73,902.4,buy,892.1997000000003,7266.693000000001,991.3330000000005,7
